cve,repo,commit
CVE-2020-35518,389-ds-base,cc0f69283abc082488824702dae485b8eae938bc
CVE-2020-35518,389-ds-base,b6aae4d8e7c8a6ddd21646f94fef1bf7f22c3f32
CVE-2015-1583,ATutor,0ee827317e497f1db86ddc5080b8af461e4595ce
CVE-2015-1583,ATutor,068b8aa37f24645c62235018fb8da340f60e2d18
CVE-2015-1583,ATutor,af519cfb56da7312eecbb5812484fcbce08e4419
CVE-2016-2555,ATutor,945a9dca01def8536516088da30fe6a4b7e9fa85
CVE-2016-2555,ATutor,629b2c992447f7670a2fecc484abfad8c4c2d298
CVE-2014-1401,AuraCMS,4fe9d0d31a32df392f4d6ced8e5c25ed4af19ade
CVE-2014-1401,AuraCMS,790f66ffbc4f23a6e13636fc79d0aa1a7d81e747
CVE-2020-8815,BearFTP,66dc9d95e58bca133f265457d32007cdf38b66ad
CVE-2020-8815,BearFTP,17a6ead72d4a25cbfcef5e27613aa0a5f88a4b26
CVE-2021-41189,DSpace,c3bea16ab911606e15ae96c97a1575e1ffb14f8a
CVE-2021-41189,DSpace,277b499a5cd3a4f5eb2370513a1b7e4ec2a6e041
CVE-2022-28545,FUDforum,aed69661b6f876c916abec9ca4fcf5035b8e2390
CVE-2022-28545,FUDforum,8ff446881932a45ce538b84a76f833d44eada93b
CVE-2020-11089,FreeRDP,795842f4096501fcefc1a7f535ccc8132feb31d7
CVE-2020-11089,FreeRDP,6b485b146a1b9d6ce72dfd7b5f36456c166e7a16
CVE-2020-10235,Froxlor,62ce21c9ec393f9962515c88f0c489ace42bf656
CVE-2020-10235,Froxlor,7e361274c5bf687b6a42dd1871f6d75506c5d207
CVE-2022-31081,HTTP-Daemon,e84475de51d6fd7b29354a997413472a99db70b2
CVE-2022-31081,HTTP-Daemon,8dc5269d59e2d5d9eb1647d82c449ccd880f7fd0
CVE-2019-19502,Image-Uploader-and-Browser-for-CKEditor,5c7a6b0e10504f08e2f50655541b767e276ce749
CVE-2019-19502,Image-Uploader-and-Browser-for-CKEditor,c293d38c8b99444e775d94c1af50c9676c6544d2
CVE-2018-1000658,LimeSurvey,91d143230eb357260a19c8424b3005deb49a47f7
CVE-2018-1000658,LimeSurvey,20fc85edccc80e7e7f162613542792380c44446a
CVE-2019-14512,LimeSurvey,0b7391dff91b326284ca3fc5188b768b5d522d88
